nina,last_name,first_name,birth_date,sex,region_code,birth_region,cercle,commune,village,father_name,mother_name,language,has_error,error_type,error_field
10108110166612G,Diakite,Zachaaria,2001-08-07,M,1,Kayes,Kita,Sebekoro,Kountouba,Abdoulay Dougnon,Founékou Sogodogo,bm,True,phonetic_spelling,first_name
17307611213557D,Bakart,Demba,1973-07-04,M,6,Tombouctou,Dire,Tienkour,Arawana-Kel,Cheick Dembaga,Diénéba Thiam,dje,True,typo_substitution,last_name
16512823229247C,Seck,Usmane,1965-12-09,M,8,Kidal,Abeibara,Boghassa,Boghassaren,Gibril Ouologuem,Fanké Soumare,tmq,True,phonetic_spelling,first_name
25804652261457G,Kebe,Sira,1958-04-01,F,6,Tombouctou,Dire,Tienkour,Arawana-Kel,Solomane Ba,Founékè Dakouo,fr,False,,
17303335274008T,Yorodian,Maiga,1973-03-18,M,3,Sikasso,Bougouni,Sido,Misseniba,Dembele Thiam,Khadija Bocoum,fr,True,field_inversion,"first_name,last_name"
26212853037765W,Haidara,Umou,1962-12-08,F,8,Kidal,Tessalit,Timetrine,Aguelhokan,Galo Yanogo,Djeneba Bagayoko,fr,True,phonetic_spelling,first_name
16608327199462F,Kanté,Pate,1966-08-07,M,3,Sikasso,Yorosso,Mahou,Fakoroba,Fodéba Konate,Bafou Tounkara,ff,True,phonetic_spelling,first_name
18404855038367V,Sacko,Salia,1984-04-25,M,8,Kidal,Kidal,Anefif,Adjelhocan,Tiéfing Dougnon,Hawawou Bagayoko,tmq,False,,
24804526016486X,Kaba,Djénétou,1948-04-05,F,5,Mopti,Mopti,Konna,Tongorongo,Sambou Dansoko,Kankoun Hamidou,bm,False,,
11804444192981U,Keita,Bandé,2018-04-21,M,4,Ségou,Niono,Sirifila Boundy,Kalabougou-Niare,Mahmoud Drame,Goundo Fofana,fr,False,,
27104636044313W,Kz,Kankoun,1971-04-12,F,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Lassina Sanou,Kadidiatou Touray,tmq,True,typo_substitution,last_name
19209852291873M,Diakite,Fojneke,1992-09-04,M,8,Kidal,Abeibara,Boghassa,Boghassaren,Ichaka Boubou,Safiatou Souleymane,fr,True,typo_substitution,first_name
27306409121103R,Guindo,Halimatu,1973-06-25,F,4,Ségou,Baroueli,Tamani,Fienso-Were,Moussa Ba,Néma Kebe,bm,True,phonetic_spelling,first_name
24004428087005Q,Napo,Oulématou,1940-04-28,F,4,Ségou,San,Kava,Damansela,Sambou Ag,Habibatou Bengaly,fr,False,,
23109630229368S,Dolo,Niamtou,1931-09-20,F,6,Tombouctou,Tombouctou,Bourem-Inaly,Tindjambar,Bandé Magassa,Mariétou Berthe,dje,False,,
19210613135752Y,Tangara,Yacoub,1992-10-27,M,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Lassana Konate,Dadou Sangare,ff,False,,
11412136134557V,Boureima,Allaye,2014-12-27,M,1,Kayes,Kita,Sebekoro,Kountouba,Abdoulkader Gakou,Kankan Hamidou,snk,False,,
20701230257523N,Dabo,Sirantou,2007-01-27,F,2,Koulikoro,Dioila,Massigui,Fadiabougou,Diadié Sacko,Mariam Mbaye,fr,False,,
14401511092580C,Mallé,Abdoulkarim,1944-01-22,M,5,Mopti,Koro,Dioungani,Bankassou,Tiéman Mariko,Toko Fofana,ff,False,,
14006117190240H,Fofana,Dembele,1940-06-02,M,1,Kayes,Nioro du Sahel,Diabigue,Ndiaganfoula,Yoro Coulou,Niamako Boncana,ff,False,,
10308142166106K,Konfe,Abdu,2003-08-15,M,1,Kayes,Kita,Sebekoro,Kountouba,Niankoro Kamissoko,Bintoutou Issoufou,snk,True,typo_omission,first_name
25906334208362W,Sabou,Niamtou,1959-06-17,F,3,Sikasso,Koutiala,Zangasso,Diomandougou,Hammadi Diarra,Niékè Diawara,bm,True,typo_substitution,last_name
19904224061677V,Lp,Tidjani,1999-04-20,M,2,Koulikoro,Nara,Dilly,Niamala,Tenema Soumare,Diénékè Soumbounou,bm,True,typo_substitution,last_name
16607237083138T,Dakouo,Ousmane,1966-07-18,M,2,Koulikoro,Dioila,Massigui,Fadiabougou,Aboubacar Fadiga,Maimouna Niare,bm,False,,
24806737010900C,Sanaba,Guindo,1948-06-23,F,7,Gao,Menaka,Anderamboukane,Talataye-Kori,Mamoutou Bocar,Hawawou Maiguizo,dje,True,field_inversion,"first_name,last_name"
17712753094639S,Sogoba,Faxseri,1977-12-13,M,7,Gao,Ansongo,Tessit,Ansongala,Kalifa Dackouo,Maïdjara Diallo,fr,True,typo_substitution,first_name
23910239050182S,Yalcouye,Mariamaa,1939-10-24,F,2,Koulikoro,Banamba,Toubacoro,Wolontomo,Youssouf Toure,Djénétou Sacko,fr,True,phonetic_spelling,first_name
26309456023715E,Ibrahima,Goundoba,1963-09-12,F,4,Ségou,Bla,Yangasso,Wolofobougou,Diakaridia Mariko,Korka Almoustapha,bm,False,,
18009509131489K,Faye,Kasim,1980-09-28,M,5,Mopti,Djenne,Femaye,Sofarana,Tahirou Issoufou,Kandé Tamboura,ff,True,phonetic_spelling,first_name
16903601193671T,Dia,Housseyni,1969-03-27,M,6,Tombouctou,Niafunke,Soumpi,Niafounaba,Fodéba Konfourou,Niamako Magassa,tmq,False,,
25112355275434T,Mallé,Kankan,1951-12-02,F,3,Sikasso,Yorosso,Mahou,Fakoroba,Mamoudou Macalou,Khadidja Mahamoud,fr,False,,
29002224287569X,Mariko,Niénè,1990-02-01,F,2,Koulikoro,Kangaba,Minidian,Tonkanibougou,Soriba Soumountéra,Niélékè Mahamoud,fr,False,,
10405115229802H,Konare,Daouda,05/19/2004,M,1,Kayes,Kayes,Sadiola,Kondiarafara,Bouréma Sogoba,Maïssa Pamateck,fr,True,date_format_error,birth_date
17108153075483F,Ag,Karim,1971-08-16,M,1,Kayes,Diema,Lakamane,Mansakoro,Ibrahim Kamissoko,Diénéba Bamba,fr,False,,
21309540267294J,Kone,Mariétoulaye,2013-09-12,F,5,Mopti,Bandiagara,Sangha,Sevarela,Yaya Gassama,Bintoukè Keita,ff,False,,
21906303262529B,Fage,Mariama,2019-06-16,F,3,Sikasso,Sikasso,Kaboila,Kefanazana,Khalifa Toure,Niamako Mbaye,ff,True,typo_substitution,last_name
20206538103531K,Coulibaly,Bintatou,2002-06-09,F,5,Mopti,Bandiagara,Sangha,Sevarela,Bilal Diallo,Niaba Souleymane,bm,False,,
23107453142232R,Ba,Maïdjara,1931-07-07,F,4,Ségou,Baroueli,Tamani,Fienso-Were,Demba Soumountéra,Fatoumata Coumare,fr,False,,
12105705258302P,Dackouo,Mady,2021-05-06,M,7,Gao,Gao,Soni Ali Ber,Gargandobo,Inahaman Tamboura,Kadia Soumountéra,dje,False,,
20512731125776J,Pamateck,Mariétoulayr,2005-12-06,F,7,Gao,Bourem,Bamba,Bouremaya,Galo Hamady,Sadiokè Sangare,dje,True,typo_substitution,first_name
27103523265549P,Keita,Hassanatou,1971-03-13,F,5,Mopti,Tenenkou,Diondiori,Diafarabe-Kola,Fasseri Dieng,Niagalé Dabo,dje,False,,
22009136092488V,Napo,Sanou,2020-09-26,F,1,Kayes,Nioro du Sahel,Diabigue,Ndiaganfoula,Mamoutou Sogodogo,Sadia Sow,snk,False,,
14407348124894C,Kamissoko,Yoro,1944-07-19,M,3,Sikasso,Kadiolo,Loulouni,Sanfolola,Diakaridia Sall,Oulématou Yaranangore,fr,False,,
14809144253629K,Diarra,Birama,1948-09-22,M,1,Kayes,Diema,Lakamane,Mansakoro,Issa Fofana,Diénékè Walet,bm,False,,
26606612262287L,Mahamoud,Diénéba,1966-06-11,F,6,Tombouctou,Goundam,Tonka,Goundamasa,Founeke Soumountéra,Wassa Diakite,ff,False,,
14602623202882M,Tall,Gapo,1946-02-27,M,6,Tombouctou,Dire,Tienkour,Arawana-Kel,Nouhoum Coulou,Sounkali Napo,fr,True,typo_substitution,first_name
24501236135243B,Doukoure,Soudata,1945-01-06,F,2,Koulikoro,Kangaba,Minidian,Tonkanibougou,Mamoudou Dackouo,Kankan Barry,bm,False,,
20509849191374W,Wélé,Zeïnabou,2005-09-28,F,8,Kidal,Kidal,Anefif,Adjelhocan,Soumaïla Sow,Massikè Cheick,fr,False,,
25108336222877E,Almoustapha,Téné,1951-08-10,F,3,Sikasso,Kadiolo,Loulouni,Sanfolola,Tiéman Gakou,Wassakè Keita,fr,False,,
16707834274738J,Napo,Bilali,1967-07-08,M,8,Kidal,Kidal,Essouk,Tinzaoukar,Solo Cisseko,Niéléba Diaby,fr,True,phonetic_spelling,first_name
16810331050461C,Sagar,Fasséni,1968-10-18,M,3,Sikasso,Yorosso,Mahou,Fakoroba,Fadima Bengaly,Niéléba Yehia,bm,True,typo_omission,last_name
11210737276179K,Guindo,Séooba,2012-10-07,M,7,Gao,Bourem,Bamba,Bouremaya,Ténin Sogoba,Niamtou Bocar,fr,True,typo_substitution,first_name
25902840293415G,Sidibe,Kankou,1959-02-12,F,8,Kidal,Kidal,Essouk,Tinzaoukar,Mamarou Dackouo,Aïchata Napo,tmq,False,,
27702742203278W,Hamadou,Tabuta,1977-02-11,F,7,Gao,Menaka,Anderamboukane,Talataye-Kori,Fadima Konfe,Salamata Touray,fr,True,typo_substitution,first_name
15802226053098T,Maiga,Alaie,1958-02-27,M,2,Koulikoro,Nara,Dilly,Niamala,Ichaka Diakite,Oumou Mahamoud,fr,True,phonetic_spelling,first_name
21610415127756Y,Guiindo,Dembou,2016-10-08,F,4,Ségou,Niono,Sirifila Boundy,Kalabougou-Niare,Abdoulay Bathily,Saran Mahamadou,fr,True,phonetic_spelling,last_name
26605660140562F,Hamadou,Kaira,1966-05-18,F,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Hamza Boureima,Hadiaratou Saidou,ff,False,,
29903431277233T,Bagayoko,Demhou,1999-03-28,F,4,Ségou,Baroueli,Tamani,Fienso-Were,Soriba Bicaba,Niani Coumare,fr,True,typo_substitution,first_name
29612601252970T,Soumbounou,Astan,1996-12-09,F,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Mamadou Wane,Doussou Faye,fr,False,,
16408557288448K,Mahamud,Klétigui,1964-08-17,M,5,Mopti,Tenenkou,Diondiori,Diafarabe-Kola,Mamarou Boncana,Niélétou Ndiaye,bm,True,phonetic_spelling,last_name
23705848273829M,Dououre,Niani,1937-05-13,F,8,Kidal,Tessalit,Timetrine,Aguelhokan,Famakan Diallo,Adama Dansoko,tmq,True,typo_omission,last_name
24301321010156F,Dembele,Djnétou,1943-01-05,F,3,Sikasso,Sikasso,Kaboila,Kefanazana,Sékou Barry,Massitan Guindo,bm,True,typo_omission,first_name
11610201253223J,Bocar,Dackouo,2016-10-10,M,2,Koulikoro,Banamba,Toubacoro,Wolontomo,Fodé Fane,Maïrame Boubou,fr,True,field_inversion,"first_name,last_name"
18802118201074F,Issoufou,Allaie,1988-02-06,M,1,Kayes,Yelimane,Kremis,Tougandama,Bandiougou Ba,Niénè Almoustapha,fr,True,phonetic_spelling,first_name
26802329127756J,Camara,Téné,02/08/1968,F,3,Sikasso,Bougouni,Sido,Misseniba,Galo Diabate,Hadjaratou Ka,bm,True,date_format_error,birth_date
23606241022763F,Souleymane,Haejaratou,1936-06-13,F,2,Koulikoro,Nara,Dilly,Niamala,Nfaly Cisseko,Diénékè Saye,fr,True,typo_substitution,first_name
23012401086814W,Macalou,Niémaba,1930-12-07,F,4,Ségou,San,Kava,Damansela,Nouhoum Mahamoud,Maïram Keita,fr,False,,
27511839080381B,Bagayoko,Ulématou,1975-11-06,F,8,Kidal,Kidal,Anefif,Adjelhocan,Mamary Fane,Niaba Pamateck,fr,True,phonetic_spelling,first_name
14804615163572D,Sanou,Sidi,1948-04-03,M,6,Tombouctou,Goundam,Tonka,Goundamasa,Salifou Ba,Rokiatou Ascofare,dje,False,,
21702132225573V,Tessougue,Niamana,2017-02-28,F,1,Kayes,Kita,Sebekoro,Kountouba,Hamza Sylla,Niama Diaby,snk,False,,
26602930141889W,Abdramane,Dado,1966-02-06,F,9,Bamako,District de Bamako,Commune VI,Niamakorola,Moussa Ibrahima,Penda Cheickna,bm,False,,
25206501260389S,Barry,Aissata,1952-06-10,F,5,Mopti,Douentza,Hombori,Yalakoura,Seyba Bicaba,Mariétoulaye Mbaye,bm,False,,
29008334255785G,Abdramane,Prnda,1990-08-01,F,3,Sikasso,Sikasso,Kaboila,Kefanazana,Mamoudou Guindo,Founékè Konfourou,ff,True,typo_substitution,first_name
10507113055498L,Ba,Daouda,2005-07-14,M,1,Kayes,Kita,Sebekoro,Kountouba,Souleymane Sogodogo,Zeïnab Boncana,ff,False,,
28808124114621L,Sidiibe,Kadiatou,1988-08-28,F,1,Kayes,Yelimane,Kremis,Tougandama,Yorodian Sylla,Kankou Samassekou,fr,True,phonetic_spelling,last_name
10610718271042S,Sidibe,Sory,2006-10-15,M,7,Gao,Gao,Gounzoureye,Wabarianke,Lassana Gueye,Niélima Diabate,fr,False,,
23110313270673N,Dieng,Goundokè,1931-10-07,F,3,Sikasso,Sikasso,Kaboila,Kefanazana,Abdoulay Yattara,Hawakè Yehia,bm,False,,
24509830219905H,Kanoute,Hapsatou,1945-09-04,F,8,Kidal,Tin-Essako,Intadeyni,Intadeyni,Bandiougou Souleymane,Maïssa Ouattara,tmq,False,,
24009458162564D,Tapily,Maïrame,1940-09-09,F,4,Ségou,Baroueli,Tamani,Fienso-Were,Tidiane Wane,Asmaou Ouologuem,fr,False,,
15009550282949X,Tamboura,Fadima,1950-09-26,M,5,Mopti,Mopti,Konna,Tongorongo,Soumaïla Bocar,Sirantou Traore,fr,False,,
10409609155007L,Saye,Sabou,2004-09-14,M,6,Tombouctou,Niafunke,Soumpi,Niafounaba,Bouréma Napo,Rokiatou Macalou,tmq,True,typo_omission,first_name
23505457299256Q,Faye,Mahoua,1935-05-09,F,4,Ségou,Bla,Yangasso,Wolofobougou,Solo Dabo,Massikè Wélé,fr,False,,
28009612250846J,Soumouhtéra,Fadima,1980-09-12,F,6,Tombouctou,Tombouctou,Bourem-Inaly,Tindjambar,Yssouf Saye,Djeneba Soumountéra,ff,True,typo_substitution,last_name
20909256117766F,Keitaz,Roukaya,2009-09-23,F,2,Koulikoro,Kati,Sanankoroba,Sirakoroba,Yaye Almoustapha,Bintou Dolo,fr,True,typo_insertion,last_name
10508847202995T,Bocar,Founeke,2005-08-25,M,8,Kidal,Tin-Essako,Intadeyni,Intadeyni,Yssouf Soumountéra,Dadou Dabo,fr,False,,
25008209173085J,Yalcouye,Massikèè,1950-08-09,F,2,Koulikoro,Banamba,Toubacoro,Wolontomo,Mande Dembele,Fatoukè Wélé,bm,True,typo_insertion,first_name
18812626293201L,Salaha,Syni,1988-12-10,M,6,Tombouctou,Goundam,Tonka,Goundamasa,Karamoko Mahamadou,Oulématou Seck,fr,True,typo_omission,first_name
24710524179196V,Ouologuem,Niélékè,1947-10-18,F,5,Mopti,Djenne,Femaye,Sofarana,Yssouf Doumbia,Korké Dolo,ff,False,,
23602710226046D,Faye,Djénébou,1936-02-22,F,7,Gao,Gao,Gounzoureye,Wabarianke,Hassane Walet,Penda Samake,fr,False,,
17205760076890V,Goita,Mahapadou,1972-05-27,M,7,Gao,Gao,Gounzoureye,Wabarianke,Mounkoro Niang,Diénébou Cheickna,dje,True,typo_substitution,first_name
28001747073712K,Klnate,Niélétou,1980-01-29,F,7,Gao,Gao,Gounzoureye,Wabarianke,Moustapha Mahamadou,Sira Tamboura,fr,True,typo_substitution,last_name
13511125139679N,Bengaly,Salia,1935-11-18,M,1,Kayes,Nioro du Sahel,Diabigue,Ndiaganfoula,Modibo Tembely,Safietou Maouloud,snk,False,,
17902432273091W,Barrry,Fadiala,1979-02-23,M,4,Ségou,San,Kava,Damansela,Aboubacrine Hamady,Niéléba Sissoko,fr,True,typo_insertion,last_name
15901123181364N,Dougnon,Zoumana,1959-01-15,M,1,Kayes,Bafoulabe,Diakon,Sambela,Aboubacrine Macalou,Salimata Tamboura,ff,False,,
16405718116156U,Dackouo,Yéro,1964-05-30,M,7,Gao,Gao,Soni Ali Ber,Gargandobo,Abdoulkarim Diawara,Tenin Almoustapha,tmq,False,,
12103516294157X,Kane,Fkdé,2021-03-21,M,5,Mopti,Tenenkou,Diondiori,Diafarabe-Kola,Yousouf Yanogo,Niélékou Boureima,ff,True,typo_substitution,first_name
14406559075672X,Mamary,Mallé,1944-06-09,M,5,Mopti,Djenne,Femaye,Sofarana,Lamine Diallo,Hawakè Oumarou,fr,True,field_inversion,"first_name,last_name"
17808902164902H,Touray,Tidiane,1978-08-02,M,9,Bamako,District de Bamako,Commune VI,Niamakorola,Sory Hamadou,Kadidia Macalou,fr,False,,
10608212014781F,Doukoure,Cheik,2006-08-25,M,2,Koulikoro,Dioila,Massigui,Fadiabougou,Aly Faye,Aïsseta Faye,fr,False,,
28510145245138V,Sacko,Hawaou,1985-10-04,F,1,Kayes,Diema,Lakamane,Mansakoro,Allaye Walet,Awa Boncana,ff,False,,
11412315017419A,Coulibaly,Sinali,2014-12-03,M,3,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Tidiane Ndiaye,Kadidia Sall,fr,True,geographic_mismatch,birth_region
25106821235909R,Dieng,Goundoba,1951-06-26,F,8,Gao,Bourem,Bamba,Bouremaya,Demba Fofana,Hawawou Almoustapha,tmq,True,geographic_mismatch,birth_region
16209607232468E,Fofana,Zana,1962-09-02,M,6,Tombouctou,Niafunke,Soumpi,Niafounaba,Ahmoud Bakary,Sirantou Fofana,ff,False,,
15207319226408Y,Dougnon,Zacharia,1952-07-26,M,3,Sikasso,Sikasso,Kaboila,Kefanazana,Tijani Boubou,Hapsatou Bocoum,bm,False,,
15407834073475M,Cheickna,Chdick,1954-07-19,M,8,Kidal,Kidal,Anefif,Adjelhocan,Idrissa Sacko,Sokona Sow,fr,True,typo_substitution,first_name
18607506129332M,Konare,Cherifou,1986-07-25,M,5,Mopti,Douentza,Hombori,Yalakoura,Salifou Wague,Niaba Soumare,dje,False,,
13310646197745J,Sogoba,Mamoudou,1933-10-28,M,6,Tombouctou,Niafunke,Soumpi,Niafounaba,Mamary Ascofare,Fatoukè Almoustapha,fr,False,,
25411756077167L,Fadiga,Hadiaratou,1954-11-11,F,7,Gao,Bourem,Bamba,Bouremaya,Tahir Diakite,Hamssatou Dolo,dje,False,,
27508441093121H,Cheick,Djénébou,1975-08-30,F,4,Ségou,Segou,Sebougou,Sonfara,Bakary Cisseko,Kadiatou Hamady,bm,False,,
18606757253244T,Gueye,Mustafa,1986-06-26,M,7,Gao,Menaka,Anderamboukane,Talataye-Kori,Abdoulkarim Yalcouye,Maïdjara Konfourou,dje,True,phonetic_spelling,first_name
26403741286840T,Kz,Fanta,1964-03-23,F,7,Gao,Gao,Gounzoureye,Wabarianke,Bréhima Fadiga,Maimouna Dembaga,fr,True,typo_substitution,last_name
16610227092166N,Guindo,Mamoudou,1966-10-05,M,2,Koulikoro,Koulikoro,Tienfala,Kolibantan,Abdoulwahab Sogodogo,Niéléba Yattara,bm,False,,
25202106154331X,Bamba,Fanké,1952-02-12,F,1,Kayes,Kita,Sebekoro,Kountouba,Moussa Kane,Fatoukè Maiga,bm,False,,
14502856141338X,Mahamadou,Tidianee,1945-02-28,M,8,Kidal,Kidal,Anefif,Adjelhocan,Mohammed Ka,Nafissa Ka,fr,True,phonetic_spelling,first_name
28207539163266L,Mahamadou,Awakè,1982-07-07,F,5,Mopti,Djenne,Femaye,Sofarana,Abdoulaye Theera,Saran Mallé,dje,False,,
23509652093905V,Faye,Oumoulkher,1935-09-21,F,6,Tombouctou,Goundam,Tonka,Goundamasa,Tiéfing Ba,Aminata Tounkara,fr,False,,
19407155107819J,Dicjo,Tidiane,1994-07-06,M,1,Kayes,Kayes,Sadiola,Kondiarafara,Oumar Sagara,Djoumé Salaha,snk,True,typo_substitution,last_name
26009433282332G,Diarra,Niélé,1960-09-21,F,4,Ségou,Niono,Sirifila Boundy,Kalabougou-Niare,Hassane Sagara,Houleymatou Mahamoud,fr,False,,
15708454174945L,Soumbounou,Alaye,1957-08-11,M,4,Ségou,Macina,Kolongo,Tioribabougou,Yacouba Dansoko,Diénékè Haidara,bm,False,,
29302551212951E,Koone,Hadjaratou,1993-02-04,F,5,Mopti,Douentza,Hombori,Yalakoura,Solo Mallé,Asmaou Napo,fr,True,phonetic_spelling,last_name
17801354016348Q,Ascofare,Abdoulay,1978-01-14,M,3,Sikasso,Kolondieba,Fakola,Tengrebougou,Mahamane Niare,Massikè Boncana,fr,False,,
27112955162727B,Camara,Yacine,1971-12-27,F,9,Bamako,District de Bamako,Commune IV,Bakaribougou,Tidiane Bagayoko,Korotou Sarr,bm,False,,
26106334155180D,Niang,Marame,1961-06-04,F,3,Sikasso,Bougouni,Faragouaran,Bougoudji,Yacouba Sall,Niaba Hamadou,ff,True,typo_omission,first_name
26010647269318S,Tapily,Djita,1960-10-15,F,6,Tombouctou,Tombouctou,Bourem-Inaly,Tindjambar,Tahir Fomba,Niélima Cheick,tmq,False,,
23309546268119C,Diiarra,Karidja,1933-09-02,F,5,Mopti,Mopti,Konna,Tongorongo,Oumar Bagayoko,Nassira Samassekou,fr,True,phonetic_spelling,last_name
22004858108329X,Sall,Sadio,2020-04-12,F,8,Kidal,Kidal,Essouk,Tinzaoukar,Tijani Macalou,Djénétou Karembe,tmq,False,,
25609211141118A,Coulibaly,Halima,1956-09-25,F,2,Koulikoro,Banamba,Toubacoro,Wolontomo,Brahima Dakouo,Massitan Dia,bm,False,,
28409246146588C,Seck,Saludatou,1984-09-05,F,2,Koulikoro,Banamba,Toubacoro,Wolontomo,Drissa Ongoiba,Adijatou Pamateck,bm,True,typo_substitution,first_name
17502128201184D,Bocar,Seyni,1975-02-15,M,1,Kayes,Diema,Lakamane,Mansakoro,Fassara Ongoiba,Nassira Balde,fr,False,,
26805709048833Y,Samassdkou,Fadima,1968-05-14,F,7,Gao,Bourem,Bamba,Bouremaya,Soumana Ongoiba,Khadija Samassekou,dje,True,typo_substitution,last_name
13911859170808C,Tapily,Souana,1939-11-24,M,8,Kidal,Kidal,Anefif,Adjelhocan,Bilaly Sangare,Korotoumou Yalcouye,fr,True,typo_omission,first_name
26806737066521Y,Kanojte,Djahara,1968-06-09,F,7,Gao,Menaka,Anderamboukane,Talataye-Kori,Cherif Magassa,Kourou Yehia,tmq,True,typo_substitution,last_name
17803716281163B,Mariko,Ali,1978-03-29,M,7,Gao,Gao,Gounzoureye,Wabarianke,Ibrahim Dackouo,Niamoye Wane,dje,False,,
21710645121178W,Tahgara,Binta,2017-10-03,F,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Cherif Sogodogo,Niamtou Soumare,ff,True,typo_substitution,last_name
29910139056702L,Almoustapha,Kourou,1999-10-12,F,1,Kayes,Nioro du Sahel,Diabigue,Ndiaganfoula,Cheickne Sanogo,Niaba Gueye,snk,False,,
18411210077464U,Oumarou,Tiéfing,1984-11-05,M,2,Koulikoro,Kati,Bossofala,Banzanbougou,Aliyou Soumountéra,Niélékou Balde,fr,False,,
20306437156941E,Ag,Salima,2003-06-06,F,4,Ségou,Niono,Sirifila Boundy,Kalabougou-Niare,Bakoroba Bagayoko,Niémaba Keita,bm,False,,
27507124282992J,Diakite,Aminata,1975-07-09,F,1,Kayes,Yelimane,Kremis,Tougandama,Bilal Salaha,Toko Niang,bm,False,,
13403545202641M,Karembe,Cherif,1934-03-17,M,5,Mopti,Djenne,Femaye,Sofarana,Hama Kanté,Fanké Ag,ff,False,,
24602213285394G,Bengaly,Suadou,1946-02-23,F,2,Koulikoro,Dioila,Massigui,Fadiabougou,Tiécoura Goita,Fatimatou Bathily,fr,True,phonetic_spelling,first_name
26601828070087X,Diawara,Zeïnab,1966-01-01,F,8,Kidal,Abeibara,Boghassa,Boghassaren,Tidjani Saidou,Nafissa Bocoum,fr,False,,
25410753231394G,Theera,Naba,1954-10-02,F,7,Gao,Gao,Soni Ali Ber,Gargandobo,Bréhima Bocoum,Hawaou Diarra,tmq,False,,
10906933138421E,Issoufou,Aboubakar,2009-06-20,M,9,Bamako,District de Bamako,Commune IV,Bakaribougou,Diadié Camara,Djeneba Diaby,bm,False,,
16607731041146Q,Mahamadou,Founeke,1966-07-31,M,7,Gao,Ansongo,Tessit,Ansongala,Yaye Kassogue,Niénétou Coulou,fr,False,,
13508331040701T,Boureima,Souleyman,1935-08-28,M,3,Sikasso,Kadiolo,Loulouni,Sanfolola,Fodé Diakite,Houleymatou Oumarou,fr,False,,
24503747170432R,Theera,Sokhna,1945-03-15,F,7,Gao,Bourem,Bamba,Bouremaya,Tiéfing Niare,Djeneba Dougnon,tmq,False,,
21108141243593J,Sako,Massikè,2011-08-23,F,1,Kayes,Yelimane,Kremis,Tougandama,Aliou Tembely,Bintatou Doumbia,bm,False,,
18908605143259W,Cheick,Seyni,1989-08-05,M,6,Tombouctou,Dire,Tienkour,Arawana-Kel,Niamoye Macalou,Mahoua Coulibaly,fr,False,,
17707829190828K,Tall,Fassébi,1977-07-01,M,8,Kidal,Abeibara,Boghassa,Boghassaren,Hamadi Sarr,Niamtou Sow,fr,True,typo_substitution,first_name
27302227197244M,Ould,Azmaou,1973-02-20,F,2,Koulikoro,Kati,Bossofala,Banzanbougou,Abdramane Niare,Niamoye Soumountéra,bm,True,typo_substitution,first_name
28911531155488J,Oumarou,Fatimata,1989-11-04,F,5,Mopti,Bandiagara,Sangha,Sevarela,Hama Boncana,Wassakè Kamissoko,ff,False,,
21212119230392S,Napo,Niamato,2012-12-14,F,1,Kayes,Kayes,Hawa Dembaya,Diakanfara,Gibril Fofana,Fadima Oumarou,bm,False,,
20001759140344E,Daou,Sadia,2000-01-20,F,7,Gao,Gao,Gounzoureye,Wabarianke,Daouda Tamboura,Safya Tabouré,dje,False,,
14603944100533H,Pamateck,Djibrilla,1946-03-10,M,9,Bamako,District de Bamako,Commune VI,Niamakorola,Housseyni Sow,Wassila Souleymane,fr,False,,
18211127051538N,Kanoute,Hsssane,1982-11-16,M,1,Kayes,Kayes,Hawa Dembaya,Diakanfara,Sidiya Dembaga,Diénéba Guindo,bm,True,typo_substitution,first_name
10812741063726P,Tounkara,Karim,2008-12-03,M,7,Gao,Menaka,Anderamboukane,Talataye-Kori,Yousouf Cheick,Niélétou Mallé,fr,False,,
15604319240677F,Tangara,Abdramane,1956-04-26,M,3,Sikasso,Yorosso,Mahou,Fakoroba,Soumana Macalou,Korka Kane,ff,False,,
26502311038284G,Sanogo,Fankf,1965-02-12,F,3,Sikasso,Yorosso,Mahou,Fakoroba,Aliyou Sagara,Salimata Coumare,bm,True,typo_substitution,first_name
23606210277788M,Wabe,Soukeyna,1936-06-28,F,2,Koulikoro,Koulikoro,Tienfala,Kolibantan,Seyni Magassa,Dembou Coumare,fr,True,typo_substitution,last_name
28910242001956F,Toure,Fati,1989-10-18,F,2,Koulikoro,Banamba,Toubacoro,Wolontomo,Aliyou Doukoure,Tata Yanogo,bm,False,,
23009628207865A,Diallo,Niamana,1930-09-06,F,6,Tombouctou,Tombouctou,Bourem-Inaly,Tindjambar,Samba Traore,Soukoura Mariko,fr,False,,
20103444156411F,Kon,Roukietou,2001-03-18,F,4,Ségou,Macina,Kolongo,Tioribabougou,Abdramani Dabo,Kankan Oumarou,bm,True,typo_omission,last_name
10309236021991R,Maouloud,Abdoulwahab,2003-09-25,M,2,Koulikoro,Kangaba,Minidian,Tonkanibougou,Famakan Saye,Nafissa Boncana,fr,False,,
25704606225753H,Baah,Naminata,1957-04-07,F,6,Tombouctou,Goundam,Tonka,Goundamasa,Yacouba Ba,Oumou Mbaye,ff,True,phonetic_spelling,last_name
